Title,Alternative Title,Period,Area,Home Institution,Editor,Language,Category,URL,Access,Description,Last Modified,Contact
The Digital Gazetteer of the Song Dynasty,,premodern,China,"University of California, Merced","University of California, Merced",English,"data set/statistics,maps/mapping",http://songgis.ucmerced.edu/,open access,"In 1958, Sinologist Hope Wright published a work entitled An Alphabetical List of Geographical Names in Sung China. Originally published in Paris by the Centre de Recherches Historiques of the École Pratique des Hautes Études, and reprinted as a second-generation photocopy in 1992 by the Journal of Song-Yuan Studies, the Alphabetical List is now out of print.

Wright’s compilation is the most comprehensive print source for Song geography in any language. The Digital Gazetteer of Song Dynasty China (DGSD) is a MySQL database derived primarily from the Alphabetical List.

The Alphabetical List is an index to every jurisdiction in the Song (960-1276) spatial administrative hierarchy named in one or more of the following three Song texts: the Song History (宋史Song shi) Geography Monograph, the 980 Records of the Universal Realm in the Taiping Era (太平寰宇紀Taiping huanyu ji), and the 1085 Treatise on the Nine Territories in the Yuanfeng Reign (元豐九域志Yuanfeng jiuyu zhi).

The Alphabetical List consists of 3,828 headwords, including all Rank One circuits (路lu), Rank Two prefectures (府 fu, 州 zhou, 軍 jun, and 監 jian), Rank Three counties (縣 xian) , and Rank Four towns (鎮 zhen and cheng), markets (場chang) and stockades (寨zhai) that existed at any time during the Song dynasty, along with centers of state industry (mines, foundries, and commodity markets) located in prefectures, and information about the number of cantons (鄉 xiang) in each county, the resident (住zhu) and guest (客 ke) population of each prefecture in 980 and 1085, the civil rank of each prefecture and county, the designation of counties that served as prefecture seats, the military-ceremonial designation, if any, of each prefecture, the latitude-longitude coordinate of each prefecture, and the distance of each county from the seat of its parent prefecture.",12/14/2023 2:19pm,
The Hong Kong Heritage Project,,modern,Hong Kong,The Hong Kong Heritage Project,The Hong Kong Heritage Project,English,"archive,curated collection,visual tools,research project",https://www.hongkongheritage.org/,open access,"The Hong Kong Heritage Project (HKHP) was founded by Sir Michael Kadoorie in 2007 to preserve history and promote the appreciation of heritage in Hong Kong. HKHP holds a unique collection of archives originated from CLP, the Hongkong and Shanghai Hotels and other Kadoorie businesses and interests, which includes oral histories relating to Hong Kong's wider social and economic development post-war. The Hong Kong Heritage Project (HKHP) was established to collect and interpret the historical records of the Kadoorie Family and their business and charitable activities, and to make them accessible through an archive facility. The archive houses a rich collection of primary and secondary sources including more than 150 linear metres of paper records and 500 filmed oral history interviews – the largest oral history collection in Hong Kong. The HKHP archive sheds light on the Kadoorie business history as well as the social and economic development of Hong Kong and Shanghai from 1884 – 1980, holding substantial collections on:
Hong Kong's rural communities
Hong Kong industry, manufacturing and tourism
Hong Kong's post-war rehabilitation and development
The Kadoorie Family's connection to the Jewish community",12/14/2023 2:19pm,
The International Dunhuang Project: The Silk Road Online,,premodern,"China,Japan,Korea,Mongolia",collaborative,collaborative,English,"archive,database,visual tools,research project,pedagogy",http://idp.bl.uk,open access,"IDP is an international collaborative database that aims to make information and images of all manuscripts, paintings, textiles and artefacts from Dunhuang and archaeological sites of the Eastern Silk Road freely available on the Internet and to encourage their use through educational and research programs.",12/14/2023 2:19pm,
The Mao Era in Objects,,modern,China,King's College London,King's College London,English,"archive,curated collection,visual tools",https://maoeraobjects.ac.uk/,open access,"This website introduces material objects that shaped daily life in Maoist China. Object biographies are complemented with visual and textual materials, timelines, and maps, making the site an easy-to-use teaching resource. ",12/14/2023 2:19pm,
The Mary Griggs Burke Collection,,"premodern,modern","Japan,Korea,China",Mary and Jackson Burke Foundation ,Mary and Jackson Burke Foundation ,English,"archive,curated collection,database,visual tools",http://burkecollection.org/,open access,"This website is the online exhibition companion to Art through a Lifetime: The Mary Griggs Burke Collection, a two-volume catalogue of art from Japan, China, and Korea from premodern to modern times that was exhibited by the Metropolitan Museum of Art in 1975 and by the Tokyo National Museum in 1985.",12/14/2023 2:19pm,
The Memory Project,,modern,China,Duke University,Duke University,English,"archive,curated collection,database,visual tools,maps/mapping",https://repository.duke.edu/dc/memoryproject,open access,"Documentary filmmaker Wu Wenguang is widely considered a pioneer of modern Chinese independent film. In 2010 he launched the Memory Project to collect oral histories from survivors of the Great Famine that devastated rural China between 1958 and 1961. Officially known in China as the “Three Years of Natural Disasters” or “The Difficult Three-Year Period,” the Great Famine caused the death of between 20 and 43 million people. More recently the project has also covered the Great Leap Forward of 1958-1960, the Land Reform and the Collectivization of 1949-1953, the Four Cleanups Movement in 1964, and the Cultural Revolution of 1966-1976. The interviews naturally show regional variations in famine experiences and rural culture. They add intimate detail and humanity to the story of the deaths and starvation of millions of Chinese, providing a unique perspective on the unofficial history of the Great Famine. The accompanying website (http://chinesememoryproject.org/) has some featured interviews (http://chinesememoryproject.org/interviews/), a timeline offering more historical context (http://chinesememoryproject.org/timeline/) and an interactive map providing a visualized access to the interviews (http://chinesememoryproject.org/map/).",12/14/2023 2:19pm,
The Mongol Invasions of Japan,,premodern,"Japan,China",Princeton University,Princeton University,English,visual tools,http://digital.princeton.edu/mongol-invasions/index.php?a=scrolls,open access,"The Mongol Invasions of Japan website is devoted to understanding the Mongol Invasions of Japan in 1274 and 1281 through interactive maps, digitizations of handscrolls on the Mongol attacks, and guided views of the content.",12/14/2023 2:19pm,
The Mongol Yuan Postal Relay System,,premodern,"China,East Asia,Asia,Mongolia",Shih-shan Susan Huang,Shih-shan Susan Huang,English,"visual tools,maps/mapping",https://shihshansusanhuang.com/maps/,open access,"This map project describes the Postal Relay system under Mongol Rule in around ca. 1350. It is based on primary sources like《經世大典·站赤》 and 《元史》 and many others which are collected and analyzed in Baohai Dang’s book, Mengyuan yizhan jiaotong yanjiu 蒙元驿站交通研究 (The State Transport of the Mongol Empire; Beijing: Kunlun Press, 2006). It also incorporates other secondary sources, like GIS website information, “Havard’s Late Ming Courrier Stations and Routes“and map by Hosung Shim in his article “The Postal Roads of the Great Khans in Central Asia under the Mongol-Yuan Empire”.

In this map, 942 postal stations are found out of more than 1500 stations recorded in Dang’s book and these stations include river stations, dog stations and normal horse stations. Moreover, stations in 12 Provinces are categorized in detail. These stations and routes are represented as geographic layers in both English and Chinese in ArcGIS Online map.

The map does not aim for accuracy of the exact location of the postal stations but for an approximation of the transportation network so that viewers could further understand how artwork like Buddhist woodblock prints could be transported. Additionally, two layers, “Yiheimishi Buddhist temple” layer and “Buddhist printing center or place of circulation ” layer are placed above this postal relay to visualize their spatial relationship made possible this network.",12/14/2023 2:19pm,
The Nanking Massacre Project,,modern,"China,Japan,East Asia",Yale University,Yale University,English,"archive,curated collection",https://web.library.yale.edu/divinity/digital-collections/nanking-massacre,open access,"On December 13, 1937 the Japanese Imperial Army invaded Nanking and the ensuing six weeks became known to history as the Nanking Massacre. This web site provides access to first hand accounts and photographs from Westerners who remained in Nanking after the Japanese invasion. These resources do not provide a comprehensive understanding of what occurred in Nanjing during 1937-1938, but the observations made by these men and women provide an important historical lens to complement additional research.

The materials found in this collection are housed in the Yale University Divinity School Library's Special Collections. The documents are scattered throughout a number of collections and were selected for inclusion in this project by staff from the Japan ICU Foundation, which provided financial support for the project. The main criterion used for inclusion in the collection was the documents' date, although some documents from outside the core dates were included to provide relevant context.  A listing of the files selected is included in the ""Documents"" section.

The Westerners who remained in Nanking during the Massacre were primarily businessmen and missionaries. ",12/14/2023 2:19pm,
The People's Map of Global China,,modern,China,,,English,maps/mapping,https://thepeoplesmap.net/,open access,"The People’s Map of Global China tracks China’s complex and rapidly changing international activities by engaging an equally global civil society. Using an interactive, open access, and online ‘map’ format, we collaborate with nongovernmental organisations, journalists, trade unions, academics, and the public at large to provide updated and updatable information on various dimensions of Global China in their localities. The Map consists of profiles of countries and projects, sortable by project parameters, Chinese companies and banks involved, and their social, political, and environmental impacts. This bottom-up, collaborative initiative seeks to provide a platform for the articulation of local voices often marginalised by political and business elites. It is our hope that the information collected by this networked global civil society will be a useful resource for policymaking, research, and international advocacy.",12/14/2023 2:19pm,
"The Rev. Claude L. Pickens, Jr. Collection on Muslims in China",,modern,China,Harvard University,Harvard University,English,"archive,database,curated collection,visual tools",http://hcl.harvard.edu/libraries/harvard-yenching/collections/pickens/,open access,"Over 1000 photos of Muslims and Christian missionaries working among them in Western China in the 1920s and 1930s form the core of this collection, which is supplemented by several hundred books, pamphlets, broadsides, etc., in several languages.",12/14/2023 2:19pm,
The Sino-Japanese War of 1894-1985: as seen in prints and archives,,modern,"China,Japan",Japan Center for Asian Historical Records and the British Library,Japan Center for Asian Historical Records and the British Library,English,"archive,curated collection,research project",https://www.jacar.go.jp/english/jacarbl-fsjwar-e/index.html,open access,This web exhibition “The Sino-Japanese War of 1894-1895: as seen in prints and archives” has been produced as a collaboration between the Japan Center for Asian Historical Records (JACAR) and the British Library. Its aim is to bring together the collection of prints of the Sino-Japanese War held by the British Library and documents made public by JACAR to show how the events of the Sino-Japanese War were depicted and recorded by the people of the time.,12/14/2023 2:19pm,
The Xu Dishan Collection,,"premodern,modern",China,Australian National University,Australian National University,English,"archive,curated collection,database,visual tools",https://library-admin.anu.edu.au/collections/xu-dishan-collection/index.html,open access,"The collection of the eminent scholar and educator Xu Dishan [许地山 (1893-1941)], whose works in literature, religious studies, and the studies of folklorist beliefs are milestones in Chinese literati culture and are still worked on today internationally, was put up for sale in 1950.

The portion of the collection held by the Australian National University consists of 469 titles in 1,224 volumes and contains many rare editions and suspected orphaned sacred books on Buddhism, Taoism and other missionary publications of the time, including translations of the Bible. Items on Daoism and Buddhism make up the larger part of this collection and are of special interest since not many of those have survived in China and are sought after by researchers world-wide. The portion of the collection located at The University of Hong Kong consists of about 430 single titles in all areas of Asian history, religions, and languages. The combination of both collections enables us to recognise the broad interests of his research.

The collection has works dating back many centuries, and due to the complexities of publishing and limited provenance data on works in the collection, the information provided in the records may be incomplete. The ANU is seeking more information on the titles of the collection, and it is hoped that scholars worldwide may be interested in assisting us with this ongoing identification process.",12/14/2023 2:19pm,
Tibetan Oral History Archives Project,,modern,Tibet,Library of Congress,Melvyn C. Goldstein,English,"oral history,searchable catalog",https://www.loc.gov/collections/tibetan-oral-history-project/about-this-collection/,open access,"The Tibetan Oral History and Archive Project (TOHAP) is a digital online web archive of oral history interviews in Tibetan and Chinese with accompanying written transcripts (in English) that documents the social and political history of modern Tibet. The interview tapes can be listened to simultaneous with reading the transcripts. The translations were made in a literal style to retain a flavor of the original Tibetan. The TOHAP collection includes a large corpus of interviews from common folks and Drepung monastery monks speaking about their lives, and Tibetan and Chinese officials speaking about modern Tibetan history. An interactive glossary is available to explain Tibetan terms that appear in the transcripts.",12/14/2023 2:19pm,
Ties that Bind: Connecting the U.S. and East Asia,,"premodern,modern",East Asia,Five College Center for East Asian Studies,Five College Center for East Asian Studies,English,"curated collection,maps/mapping,pedagogy",https://www.historypin.org/en/FCCEAS-TiesThatBind,open access,"Ties that Bind: Connecting the U.S. and East Asia is an innovative collaborative digital mapping project that provides opportunities for users to learn about historical and contemporary people, places, events which connect the United States and East Asia.",12/14/2023 2:19pm,
Tod Nomin Gerel Collection of Mongolia Manuscripts,,premodern,Mongolia,Digital Library for International Research,Digital Library for International Research,English,"archive,curated collection,visual tools",http://www.dlir.org/tngc-about,open access,"Tod Nomin Gerel and the Digital Library for International Research provide digitization of hand-made Buddhist manuscripts written in both Oirat clear script and Mongolian old script. Being able to access the scant information that exists on Oirat culture and history, in their own voice, provides important insights into this little understood but important transition area, and into the religious, literary, linguistic, and historical cultural heritage of the Western Mongols within a greater ‘Khalkha’ Mongolia. ",12/14/2023 2:19pm,
Unofficial Poetry Journals from China,,modern,China,Leiden University Libraries,Leiden University Libraries,English,"OCR,curated collection,database,research project",https://digitalcollections.universiteitleiden.nl/unpo,open access,"Unofficial or “underground” poetry publications—especially journals, but also one-off multiple-author anthologies and individual collections—play an important role in contemporary Chinese culture. The journals are hugely influential but difficult to access. In order to address this paradox and to advance research, teaching, and use by the general reader, Leiden University Libraries is working to digitize this internationally unique collection.",12/14/2023 2:19pm,
USC Asian Maps Collection,,premodern,"Japan,China,Korea,Mongolia,Taiwan",University of Southern California,University of Southern California,English,"archive,database,curated collection,visual tools,maps/mapping",http://digitallibrary.usc.edu/cdm/landingpage/collection/p15799coll71,open access,"The Asian Maps Collection brings together a range of graphic representations of East and Southeast Asia, its features, localities and history. The Sea of Korea Map subcollection consists of original maps, dating from 1606 to 1895, in English, French, Japanese, Korean, Dutch, Latin, German and Russian. Together, they help to illustrate how the West's image of East Asia evolved over the course of the 17th, 18th, and 19th centuries.",12/14/2023 2:19pm,
USC Digital Library Asian Maps Collection,,,,,,,,https://digitallibrary.usc.edu/Archive/Asian-American-and-Pacific-Islander-Studies-2A3BF1O8KLA97,,,12/14/2023 5:09pm,
USC Digital Library Chinese Historical Society of Southern California Collection,,,,,,,,https://digitallibrary.usc.edu/Archive/Asian-American-and-Pacific-Islander-Studies-2A3BF1O8KLA97,,,12/14/2023 5:05pm,
USC Digital Library Chinese Posters Collection,,,,,,,,https://digitallibrary.usc.edu/Archive/Asian-American-and-Pacific-Islander-Studies-2A3BF1O8KLA97,,,12/14/2023 5:06pm,
Virtual Shanghai,,"modern,premodern",China,"Christian Henriot, Irasia","Christian Henriot, Irasia",English,"research project,visual tools,archive,bibliography,data set/statistics,database,maps/mapping,curated collection",https://www.virtualshanghai.net/,open access,"Research and resource platform on the history of Shanghai from the mid-nineteenth century to nowadays. It incorporates various sets of documents: essays, original documents, photographs, maps, quantitative data, etc. The objective of the project is to write a history of the city through the combined mobilization of these various types of documents and the use of digital and GIS technologies. ",12/14/2023 2:19pm,
Virtual Shanghai Map Collection,,modern,China,"Christian Henriot, Irasia","Christian Henriot, Irasia",English,"maps/mapping,visual tools,archive,database,data set/statistics",https://www.virtualshanghai.net/Maps/Collection,open access,A database of maps related to Shanghai. The collection ranges the full breadth of the 20th century. Also provides base maps for map creation.,12/14/2023 2:19pm,
Visualizing Cultures,,"premodern,modern","Japan,Korea,China",MIT,MIT,English,"research project,visual tools,archive",http://visualizingcultures.mit.edu/,open access,"Visualizing Cultures is a site that explores image-driven scholarship and learning, combining visual primary source materials with essays on topics in modern Japan and early modern China.",12/14/2023 2:19pm,
Wilson Center Digital Archive: International History Declassified,,modern,"East Asia,Japan,China,Korea,Asia,Hong Kong,Taiwan,Mongolia",Woodrow Wilson International Center for Scholars,Woodrow Wilson International Center for Scholars,English,"archive,curated collection,database",https://digitalarchive.wilsoncenter.org/,open access,"The Digital Archive is a resource where students, researchers and specialists can access once-secret documents from governments and organizations all over the world.

Constructed and maintained by the Wilson Center’s History and Public Policy Program, the Digital Archive contains newly declassified historical materials from archives around the world—much of it in translation and including diplomatic cables, high level correspondence, meeting minutes and more. The historical documents presented in the ever-expanding Digital Archive provide fresh, unprecedented insights into recent international history. By making new sources available and easily accessible, the Digital Archive serves to deepen and enrich international scholarship, history education, and public policy debate on important global issues and challenges.",12/14/2023 2:19pm,
Women in the Study of Asian Religions collaborative database,,"premodern,modern","Japan,China,Korea,Mongolia,Taiwan,Asia",Women in the Study of Asian Religions,Women in the Study of Asian Religions,English,"curated collection,database",http://libblogs.luc.edu/wisar/resources/online-resources/,open access,"This database provides a growing list of resources relevant to the teaching and study of Asian Religions. All of these resources are either created by women or concerned with women (or both). The materials are primarily, but not exclusively, in English.",12/14/2023 2:19pm,
Women in World History (East Asia section),,"premodern,modern","China,Japan,Korea",George Mason University,George Mason University,English,"pedagogy,archive,database",http://chnm.gmu.edu/wwh/sources.php?function=find&area=eastas,open access,"Women in World History is a collection of historical texts/primary sources produced by The Center for History and New Media (CHNM) at George Mason University. The content, including original sources and teaching modules, is meant to assist educators in incorporating primary sources in their teaching and promoting comparative approaches to history.",12/14/2023 2:19pm,
X-Boorman: Biographical Dictionary of Modern China,,modern,China,Howard L. Boorman,Howard L. Boorman,English,"dictionary,data set/statistics,archive,database",https://xboorman.enpchina.eu/,open access,"The X-Boorman platform presents a digital revival of the Biographical Dictionary of Republican China edited by Howard L. Boorman in 1967-1971 (Columbia University Press). The BDRC was a reference work that generations of historians used in their research and teaching. It provided essential information on both a large group of Chinese elites (including one foreigner) and on the history of the period. The BDRC went out of print decades ago and became inaccessible, except in libraries ((The print version of the BDRC is now out of print, but the four main volumes are available for consultation — on loan — at Archives.org.)). It also became obsolete due to its use of the Wade-Giles transliteration system, the availability of new materials (especially in Chinese), and of course the rise of Wikipedia-type platforms in the United States and in China. Yet the BDRC remains a very valuable piece of scholarship that we sought to transform to make it available again under new guise to the public.",12/14/2023 2:19pm,
Xinjiang Documentation Project,,modern,"China,Xinjiang",University of British Columbia,Guldana Salimjan; Dylan Byler,English,"curated collection,bibliography,pedagogy,translation",https://xinjiang.sppga.ubc.ca/,open access,"The Xinjiang Documentation Project is a multi-disciplinary research project based at the Institute for Asian Research in the School of Public Policy and Global Affairs at the University of British Columbia and the Gender, Sexuality, and Women’s Studies Department at Simon Fraser University. The Project collects, preserves, assesses, and makes available documentary information on the extrajudicial detention of Uyghurs, Kazakhs, and other ethnic groups in Xinjiang Uyghur Autonomous Region, Northwestern China. Our scope and priorities are: making key documents available, assessing their reliability, presenting the material for the general public, and giving a platform to share the lived experiences, providing regular updates on the ongoing situation in the region, and organizing periodic speaker series.",12/14/2023 2:19pm,
東北省鼠疫 Plague Pandemic in Manchuria,,modern,"China,Mongolia",Hong Kong University Library,Hong Kong University Library,English,"archive,curated collection,visual tools",https://digitalrepository.lib.hku.hk/plague,open access,"This collection of archival materials (particularly photographs) documents the Manchurian plague (1910-11), which was a deadly pneumonic epidemic that affected Manchuria (today's Northeast China) and Mongolia. It ultimately killed an estimated 60,000 people in the affected regions. In December 1910 Dr Wu Lien-teh (伍連德), a Malayan-born British subject and graduate of Emmanuel College, Cambridge, was called by the Chinese government to head for the plague-affected areas to investigate the disease, and then he remained in China to fight the battle against the pneumonic plague. Dr Wu’s successful control and eradication of the Manchurian plague epidemic brought him international recognition and was regarded as the international plague expert. For his contributions, Dr Wu was conferred honorary doctorates by a number of institutions, one was the honorary degree of Doctor of Laws honoris causa by the University of Hong Kong in December 1916.",12/14/2023 2:19pm,
